Ticket,Open Time,Action,Size,Symbol,Open Price,Stop Loss,Take Profit,Close Time,Close Price,Commission,Exit Reason,PL,Raw Money Profit,Swap
112,2020-04-14 01:00:00,buy,0.033333333333333326,EURUSD,1.09231,1.08481,1.10731,2020-04-14 02:00:00,1.09373,-0.23,logic_regime_change,4.5,4.73,-0.0
113,2020-04-14 03:00:00,buy,0.033333333333333326,EURUSD,1.09471,1.08721,1.10971,2020-04-14 06:00:00,1.09388,-0.23,logic_regime_change,-3.0,-2.77,-0.0
114,2020-04-14 08:00:00,buy,0.033333333333333326,EURUSD,1.09317,1.08567,1.10817,2020-04-14 10:00:00,1.09461,-0.23,logic_regime_change,4.57,4.8,-0.0
115,2020-04-15 00:00:00,buy,0.033333333333333326,EURUSD,1.09832,1.09082,1.11332,2020-04-15 08:00:00,1.09297,-0.23,logic_regime_change,-18.07,-17.83,-0.0
116,2020-04-15 22:00:00,buy,0.033333333333333326,EURUSD,1.09089,1.08339,1.10589,2020-04-16 01:00:00,1.0886,-0.23,logic_regime_change,-7.95,-7.63,-0.08
117,2020-04-17 04:00:00,buy,0.033333333333333326,EURUSD,1.08666,1.07916,1.10166,2020-04-17 07:00:00,1.0854,-0.23,logic_regime_change,-4.43,-4.2,-0.0
118,2020-04-19 23:00:00,buy,0.033333333333333326,EURUSD,1.08678,1.07928,1.10178,2020-04-20 06:00:00,1.08554,-0.23,logic_regime_change,-4.45,-4.13,-0.08
119,2020-04-21 01:00:00,sell,0.033333333333333326,EURUSD,1.08565,1.09315,1.07065,2020-04-30 14:00:00,1.09315,-0.23,catastrophic_stop_loss,-25.14,-25.0,0.09
120,2020-05-01 03:00:00,sell,0.033333333333333326,EURUSD,1.09445,1.10195,1.07945,2020-05-06 08:00:00,1.07945,-0.23,take_profit,49.82,50.0,0.05
121,2020-05-06 09:00:00,sell,0.033333333333333326,EURUSD,1.08022,1.08772,1.06522,2020-05-12 13:00:00,1.08772,-0.23,catastrophic_stop_loss,-25.17,-25.0,0.06
122,2020-05-12 23:00:00,sell,0.033333333333333326,EURUSD,1.08518,1.09268,1.07018,2020-05-18 17:00:00,1.09268,-0.23,catastrophic_stop_loss,-25.17,-25.0,0.06
123,2020-05-19 04:00:00,sell,0.033333333333333326,EURUSD,1.09085,1.09835,1.07585,2020-05-20 01:00:00,1.09383,-0.23,logic_regime_change,-10.16,-9.93,0.01
124,2020-05-20 12:00:00,buy,0.033333333333333326,EURUSD,1.09643,1.08893,1.11143,2020-05-22 09:00:00,1.08893,-0.23,catastrophic_stop_loss,-25.4,-25.0,-0.17
125,2020-05-22 20:00:00,buy,0.033333333333333326,EURUSD,1.09036,1.08286,1.10536,2020-05-28 14:00:00,1.10536,-0.23,take_profit,49.27,50.0,-0.5
126,2020-06-01 03:00:00,buy,0.033333333333333326,EURUSD,1.11373,1.10623,1.12873,2020-06-04 14:00:00,1.12873,-0.23,take_profit,49.52,50.0,-0.25
127,2020-06-05 07:00:00,buy,0.033333333333333326,EURUSD,1.13733,1.12983,1.15233,2020-06-05 12:00:00,1.12983,-0.23,catastrophic_stop_loss,-25.23,-25.0,-0.0
128,2020-06-08 10:00:00,buy,0.033333333333333326,EURUSD,1.12968,1.12218,1.14468,2020-06-09 02:00:00,1.12925,-0.23,logic_regime_change,-1.75,-1.43,-0.08
129,2020-06-09 04:00:00,sell,0.033333333333333326,EURUSD,1.12874,1.13624,1.11374,2020-06-09 15:00:00,1.13624,-0.23,catastrophic_stop_loss,-25.23,-25.0,0.0
130,2020-06-10 05:00:00,sell,0.033333333333333326,EURUSD,1.13428,1.14178,1.11928,2020-06-10 18:00:00,1.14178,-0.23,catastrophic_stop_loss,-25.23,-25.0,0.0
